epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.038,0.59457,1.58213,0.93677,0.9994,1,0.995,0.96629,0.30829,0.87944,0.78375,0.000662963,0.000662963,0.000662963
2,803.23,0.41437,0.82975,0.8584,0.99953,1,0.995,0.9779,0.31415,0.61187,0.79891,0.00131647,0.00131647,0.00131647
3,1162.27,0.38598,0.62137,0.84981,0.99944,1,0.995,0.99356,0.22315,0.46536,0.76253,0.00195677,0.00195677,0.00195677
4,1497.76,0.37289,0.52129,0.84215,0.99943,1,0.995,0.98684,0.23921,0.41707,0.77035,0.0019406,0.0019406,0.0019406
5,1826.78,0.33408,0.41767,0.82881,0.99961,1,0.995,0.99256,0.20557,0.37054,0.75852,0.0019208,0.0019208,0.0019208
6,2157.92,0.32336,0.37671,0.83604,0.99968,1,0.995,0.9792,0.25171,0.31071,0.77359,0.001901,0.001901,0.001901
7,2489.41,0.28836,0.32797,0.82457,0.9996,1,0.995,0.98925,0.20214,0.24686,0.75649,0.0018812,0.0018812,0.0018812
8,2829.65,0.2792,0.31437,0.81052,0.99242,1,0.995,0.98664,0.19471,0.25451,0.75667,0.0018614,0.0018614,0.0018614
9,3163.38,0.26884,0.29335,0.82468,0.99967,1,0.995,0.98736,0.19797,0.24436,0.7594,0.0018416,0.0018416,0.0018416
10,3510.84,0.27133,0.29771,0.82679,0.99754,1,0.995,0.995,0.18539,0.24058,0.75477,0.0018218,0.0018218,0.0018218
11,3929.91,0.26271,0.26222,0.81976,0.99969,1,0.995,0.995,0.17458,0.19621,0.74648,0.001802,0.001802,0.001802
12,4315.52,0.25023,0.24909,0.81034,0.99969,1,0.995,0.995,0.15312,0.17704,0.74189,0.0017822,0.0017822,0.0017822
13,4652.19,0.24107,0.22797,0.8114,0.9997,1,0.995,0.995,0.13143,0.14794,0.73869,0.0017624,0.0017624,0.0017624
14,4990.82,0.21945,0.21894,0.81003,0.99964,1,0.995,0.995,0.14857,0.15625,0.74256,0.0017426,0.0017426,0.0017426
15,5377.38,0.21398,0.20739,0.8013,0.9997,1,0.995,0.995,0.15509,0.15518,0.74294,0.0017228,0.0017228,0.0017228
16,5849.77,0.20584,0.19925,0.81032,0.99961,1,0.995,0.995,0.14152,0.15285,0.74489,0.001703,0.001703,0.001703
17,6338.39,0.20811,0.20345,0.8004,0.99969,1,0.995,0.995,0.1317,0.12999,0.73775,0.0016832,0.0016832,0.0016832
18,6807.14,0.1972,0.19822,0.80053,0.99904,1,0.995,0.995,0.12906,0.15299,0.73855,0.0016634,0.0016634,0.0016634
19,7278.89,0.19751,0.19275,0.79526,0.99959,1,0.995,0.995,0.14947,0.16325,0.74134,0.0016436,0.0016436,0.0016436
20,7741.22,0.20404,0.19915,0.79714,0.99939,1,0.995,0.995,0.12473,0.14397,0.73843,0.0016238,0.0016238,0.0016238
21,8202.98,0.19265,0.18987,0.80369,0.99967,1,0.995,0.995,0.13859,0.13756,0.74018,0.001604,0.001604,0.001604
22,8673.03,0.1978,0.19061,0.79594,0.99964,1,0.995,0.99491,0.12188,0.13362,0.7376,0.0015842,0.0015842,0.0015842
23,9130.82,0.19595,0.19106,0.80804,0.99965,1,0.995,0.995,0.12227,0.13269,0.7406,0.0015644,0.0015644,0.0015644
24,9640.74,0.18688,0.1868,0.80768,0.99951,1,0.995,0.995,0.12456,0.13725,0.73663,0.0015446,0.0015446,0.0015446
25,10011.9,0.19418,0.19174,0.79859,0.99904,1,0.995,0.995,0.11815,0.13112,0.73611,0.0015248,0.0015248,0.0015248
26,10394.5,0.19015,0.18535,0.79786,0.99971,1,0.995,0.995,0.12353,0.12628,0.73667,0.001505,0.001505,0.001505
27,10768.7,0.19328,0.1867,0.79841,0.99971,1,0.995,0.995,0.11425,0.11493,0.73484,0.0014852,0.0014852,0.0014852
28,11160.8,0.1731,0.17363,0.80037,0.99971,1,0.995,0.995,0.10902,0.1213,0.73433,0.0014654,0.0014654,0.0014654
29,11567.6,0.17374,0.16792,0.80337,0.99971,1,0.995,0.995,0.10431,0.10867,0.7343,0.0014456,0.0014456,0.0014456
30,11957.8,0.17984,0.17091,0.79534,0.99969,1,0.995,0.995,0.10284,0.11303,0.73237,0.0014258,0.0014258,0.0014258
31,12325.4,0.16799,0.16524,0.79895,0.9995,1,0.995,0.995,0.10642,0.10323,0.73477,0.001406,0.001406,0.001406
32,12727.9,0.16243,0.16099,0.79662,0.99971,1,0.995,0.995,0.09487,0.1032,0.73223,0.0013862,0.0013862,0.0013862
33,13146.2,0.15668,0.15811,0.7999,0.9997,1,0.995,0.995,0.09403,0.09614,0.7317,0.0013664,0.0013664,0.0013664
